"avganncount","avgdeathsperyear","target_deathrate","incidencerate","medincome","popest2015","povertypercent","studypercap","binnedinc","medianage","medianagemale","medianagefemale","geography","percentmarried","pctnohs18_24","pcths18_24","pctsomecol18_24","pctbachdeg18_24","pcths25_over","pctbachdeg25_over","pctemployed16_over","pctunemployed16_over","pctprivatecoverage","pctprivatecoveragealone","pctempprivcoverage","pctpubliccoverage","pctpubliccoveragealone","pctwhite","pctblack","pctasian","pctotherrace","pctmarriedhouseholds","birthrate"
58,29,192.2,444,44282,8094,14.4,0,"(42724.4, 45201]",47,46.1,48.1,"Richardson County, Nebraska",59.7,11.2,38.5,NA,5.7,39.7,15.1,60.1,3.4,69.5,50.6,42.5,40.1,19.4,93.29350079,0.036580905,0.256066333,0.121936349,51.82132412,6.961613533
84,31,181.9,529,51805,14282,10.1,0,"(51046.4, 54545.6]",36.6,35.5,37.8,"Saline County, Nebraska",52,20,18,NA,7.2,34.7,8.1,63.3,3.4,76.3,60.9,54,25.7,11.6,91.62256267,0.793871866,2.681058496,3.189415042,53.87931034,3.0621435
111,47,176.2,428.6,61961,21016,8.2,333.0795584,"(61494.5, 125635]",41.4,40.6,42.4,"Saunders County, Nebraska",60.4,10.8,29,42.2,18,33,16.1,65.4,3.5,80.2,62.5,50.7,28.5,11.5,97.25051403,0.655094917,0.272557739,0.535552049,59.45375543,6.021555764
74,38,212.3,431.5,37417,11660,19.9,0,"(37413.8, 40362.7]",45.3,44.2,46.1,"Decatur County, Tennessee",56.1,15,38.9,NA,4.7,44.6,7.5,48.1,10.1,58.4,42.8,35.7,44.3,23.9,94.10405614,2.781105596,0.265274688,0.795824063,50.74327039,4.422498927
273,110,199.1,497.9,45914,51487,14.3,58.26713539,"(45201, 48021.6]",39.9,38.5,40.9,"Dickson County, Tennessee",52.5,14.8,51.3,NA,2.2,43.7,9.3,54.7,7.5,64.4,50.8,44.5,35,20.2,92.29077508,3.930892376,0.491361547,0.739023617,54.88790688,4.968421053
183,84,185.6,408,43425,37893,19.6,0,"(42724.4, 45201]",40.3,39.2,42,"Dyer County, Tennessee",51.7,17.3,37.3,NA,3.4,40.2,11.6,54.1,6.6,63.9,50.4,46.1,37.6,21.9,82.04656541,13.34419509,0.580753666,0.835654596,50.38510482,6.483677849
227,85,174.7,471.4,56573,39165,14.7,0,"(54545.6, 61494.5]",43.7,42.7,44.8,"Fayette County, Tennessee",56.4,14.8,36.9,42.6,5.7,35.8,15.9,54.1,8.5,71.8,55.6,45.8,32.9,15.6,69.61920956,27.64981708,0.66986139,1.076931004,58.14360771,5.28264626
116,55,230.9,496.6,30299,17917,28.1,0,"[22640, 34218.1]",44.2,42.7,45.2,"Fentress County, Tennessee",53,10.9,51.8,NA,5.3,44.2,7,41.6,10.4,45.2,NA,24.2,53.2,33,97.90864982,0.16173108,0.306731359,0.340192962,51.01314348,5.124835742
178,78,199.9,469.4,41326,28946,16.9,0,"(40362.7, 42724.4]",42.9,41.5,44,"Giles County, Tennessee",52.4,12.5,36.2,NA,6.4,42.3,9.7,50.6,9.9,64.4,46.8,40.8,37.9,20.1,86.09969256,10.03488894,0.659780994,0.939583405,51.85447464,4.447587616
428,183,194.7,469.7,36740,68580,17.7,0,"(34218.1, 37413.8]",43.7,42.2,44.9,"Greene County, Tennessee",53,9.2,50.2,33.7,6.8,42.6,9.8,49.8,8.7,59.4,42.3,37.3,42.5,22,95.30010499,2.206311246,0.507466169,0.587669155,51.19917323,3.90120498
373,156,197.9,489.4,37410,63402,23.4,0,"(34218.1, 37413.8]",39.9,39,41.5,"Hamblen County, Tennessee",51.3,14.6,48.9,NA,7.2,42.1,10,50.2,10.1,55.2,39.7,34.6,42.3,24.6,88.56807251,4.052445277,0.709535072,3.82387022,49.59542297,5.325701036
44,21,230.9,483.5,27323,6572,29.5,0,"[22640, 34218.1]",44.2,43.4,45,"Hancock County, Tennessee",51.7,5.7,58.9,NA,0,39.4,7.3,41.5,12.1,48.1,37.3,34.1,49.4,31.1,97.41041855,0.451671183,0.060222824,0.060222824,47.56717502,8.014184397
365,157,211.8,500.6,39506,56471,19.6,0,"(37413.8, 40362.7]",43.4,42.3,44.5,"Hawkins County, Tennessee",52.7,12.6,46.8,NA,5.8,44.2,8.8,47.6,10,61.2,44.3,40,42.4,23.8,96.21874724,1.397649969,0.367523633,0.385193038,50.25251435,4.203166439
155,69,204.5,467.1,39303,28015,19.1,0,"(37413.8, 40362.7]",40.7,39.1,41.6,"Henderson County, Tennessee",51.5,12.5,40,40.3,7.2,39.8,8.4,50.2,9.4,59.8,NA,39,40.6,25.5,89.0265234,7.589333524,0.049976796,0.871024167,50.04163197,4.405016825
223,105,219.1,479.3,37151,32147,20.5,0,"(34218.1, 37413.8]",44.9,43.7,46,"Henry County, Tennessee",55.2,14.8,54.4,24.4,6.4,45.1,8.5,48.3,9.7,59.8,40.9,32.6,44.2,24,89.49456134,8.624376336,0.210728563,0.083671635,51.26568184,4.382650748
143,61,213.5,509.6,37443,24363,20.2,0,"(37413.8, 40362.7]",40.7,39.5,42.1,"Hickman County, Tennessee",49.1,21.4,50.1,NA,1.3,43.3,6.6,48,8.6,53.7,NA,35.3,41.1,25.7,92.14676934,4.826421777,0.032944859,0.938928468,52.0583875,6.558627264
127,55,222.6,527.3,42837,18135,17.6,716.8458781,"(42724.4, 45201]",42.2,41.3,42.8,"Humphreys County, Tennessee",54.8,14.1,41.3,43.4,1.2,42.8,8.9,48.1,8.9,66.9,49,42.9,37.8,17.8,95.09868421,3.229166667,0.191885965,0.082236842,54.126895,5.078225186
102,52,211.3,414.7,31330,17830,26.4,0,"[22640, 34218.1]",44.5,43,47.5,"Johnson County, Tennessee",53.3,15.8,46.9,NA,2.4,40.9,6.1,39.9,9,56.6,37.4,31.4,48.7,26.1,93.40067714,3.946272964,0.127657213,0.782594217,55.01498074,5.253623188
36,22,247.6,413.7,28524,7576,41.9,0,"[22640, 34218.1]",40.3,38.8,45,"Lake County, Tennessee",32.9,30.4,51,NA,5,44.6,5.9,27.9,10.1,45.4,32.5,27,52.1,36.7,68.73943021,26.81149994,0.286197476,1.74320281,43.73804971,4.662698413
224,99,187.3,438.8,34614,42564,21.8,0,"(34218.1, 37413.8]",39.9,38.7,41.4,"Lawrence County, Tennessee",55.2,16.9,39.2,NA,4.6,42.2,7.8,50.7,10.8,58.8,44.2,37.5,37.1,20.7,95.08122957,1.901671956,0.464168995,0.9307062,54.03626428,7.666385847
82,34,217.1,538.7,36255,11854,20.3,0,"(34218.1, 37413.8]",43.5,41,46.2,"Lewis County, Tennessee",57.3,10,63.6,26.4,0,43.2,8.4,50.8,7.7,57.8,43.2,34.3,40.9,23.6,94.26490288,1.59912927,1.942397857,1.013060951,54.15959253,4.558176729
183,85,193,421.9,41802,33743,16.5,0,"(40362.7, 42724.4]",42.9,41,44.5,"Lincoln County, Tennessee",51.9,21.9,39,36,3.1,41.9,11.3,53,7.6,63.6,46.3,38.9,40,20.8,89.26378539,5.20119225,0.0804769,0.935916542,49.4429786,6.664803689
304,137,195.9,447.5,39528,52639,17.4,0,"(37413.8, 40362.7]",42.7,42.2,43.1,"McMinn County, Tennessee",52.1,14.1,45.6,NA,4.7,42.7,9.8,48.9,9.3,62.5,45,40,39.6,21.5,92.57608654,4.04906106,0.457090618,0.681826839,53.20852938,4.451140766
135,55,211.2,531.4,36886,23177,19.3,43.14622255,"(34218.1, 37413.8]",39.6,38.8,40.5,"Macon County, Tennessee",56.5,16.3,44.1,NA,3.2,43.9,5.4,53.5,7.4,60,45.3,38.6,38.6,22.3,96.34462458,0.289969685,0.900663415,1.432274505,54.11020777,4.994346023
468,193,176.3,434,43113,97610,20.9,133.1830755,"(42724.4, 45201]",37.6,36.4,39,"Madison County, Tennessee",45.8,10.2,30,53.7,6.1,32.9,17,55.2,8.4,62.7,NA,42.8,37.2,22.6,59.87126212,37.0549173,1.186547706,0.407398354,46.36348801,5.831783426
168,76,216.9,490.5,42839,31552,15.5,0,"(42724.4, 45201]",39.4,38.7,40.5,"Marshall County, Tennessee",53.2,10.8,43.9,NA,4.5,42,10.4,55.4,8.4,65,50.4,44.5,34.1,18.3,89.36743798,7.195352868,0.545588754,1.354343849,52.44819519,3.440273038
411,172,187.4,450.4,51303,87757,15.5,22.79020477,"(51046.4, 54545.6]",38.6,37.4,40.2,"Maury County, Tennessee",50.8,14.2,38.5,NA,6.1,36.6,13.2,58.9,7.7,65.4,51.1,44.6,35.3,20.6,84.05855701,11.72329318,0.750395414,1.05126711,50.00462036,5.317306713
71,35,229.6,461.4,34801,11830,20.8,0,"(34218.1, 37413.8]",44.3,43.6,44.8,"Meigs County, Tennessee",55.7,14.8,63.8,NA,3.1,42.7,4.6,40.9,15,57,NA,37.4,42.7,23.7,96.24445203,1.596107887,0,0,54.91341991,5.090180361
276,119,207,482.9,37392,45771,20.6,21.84789496,"(34218.1, 37413.8]",43,41.6,44.2,"Monroe County, Tennessee",60.4,17.9,53.3,23.7,5.1,42,8,44.1,12.5,58.9,41.7,36.3,42.4,23.7,95.05000773,2.170313293,0.282604376,0.097145254,59.51840865,6.564217382
592,241,195.4,446.6,50935,193479,13.9,0,"(48021.6, 51046.4]",30.3,29.5,31.1,"Montgomery County, Tennessee",54.2,7.7,37,NA,8.7,30.8,16.6,52.1,9.7,72.1,54.5,28.7,29,14.9,71.70072051,19.2257232,2.115818905,1.715238198,53.62200682,6.724977636
36,13,137.3,408.9,50358,6322,12.5,0,"(48021.6, 51046.4]",45.5,44.8,46.1,"Moore County, Tennessee",57.4,18.8,41.3,NA,6.7,40.2,12.2,57.9,6.5,74.6,NA,45.7,32.5,12.5,94.36309243,3.857660211,0,0,60.35044825,0.702028081
189,91,215.6,455.6,40683,30639,20.8,0,"(40362.7, 42724.4]",42.1,41.2,42.9,"Obion County, Tennessee",52.1,15.7,48.7,33.1,2.5,41.3,10.3,50.3,11.2,61,43.7,37.7,40.5,21.6,86.26361271,10.54964824,0.273057278,1.053679848,50.49348599,4.063986165
137,66,220.1,470.1,35884,22129,18.9,0,"(34218.1, 37413.8]",42.2,41.3,43.3,"Overton County, Tennessee",61.3,14.3,44.7,NA,3.8,43.7,8.2,47.8,7.7,59.9,NA,36.8,41.7,24.1,97.67873303,0.809954751,0.339366516,0,59.12515462,3.83125269
38,14,160,483.4,31996,5146,19.2,0,"[22640, 34218.1]",49.4,47.7,50.4,"Pickett County, Tennessee",66.7,7.5,62.7,NA,0,38.4,4.8,50.6,4.9,60.2,40.5,31.2,44.1,21.8,97.68491269,0.74553659,0,0,63.15789474,8.686210641
362,159,189.2,442.4,37693,74553,20.8,134.1327646,"(37413.8, 40362.7]",36.1,33.8,38.5,"Putnam County, Tennessee",48.3,6.9,32.7,NA,6.3,37.8,15.4,50.5,8.4,61,48,41.4,36.1,21.1,94.21758569,2.410242515,1.109605744,0.365804092,46.05161334,3.640481715
206,77,193.5,532.5,37952,32526,22,0,"(37413.8, 40362.7]",40.5,40,41.1,"Rhea County, Tennessee",50.9,16.1,39.5,NA,4.2,38.1,7.8,48.6,11.1,58.6,NA,35.9,45.3,25.6,94.52367722,2.488115083,0.080261777,0.904488486,49.14308489,6.638495093
379,159,198.7,492.7,43269,52753,18,0,"(42724.4, 45201]",46.1,45.3,47,"Roane County, Tennessee",54.7,25.1,34.5,NA,4.5,36.6,11.3,46.9,9.8,63.7,NA,38.8,42,21.9,94.42647004,2.640984162,0.453331327,0.122267785,52.77562023,3.126436782
970,365,177.6,450.4,53799,298612,14.7,26.79061793,"(51046.4, 54545.6]",32.9,31.9,33.8,"Rutherford County, Tennessee",51,8.1,32,NA,9.2,29.6,21.4,65,6.8,72.9,61.9,54.4,23.5,13.7,79.74433568,13.4846651,2.994075553,0.86424734,53.0572913,4.947730667
81,40,227.4,465.4,44111,14811,18.7,0,"(42724.4, 45201]",41.9,41.6,42.7,"Sequatchie County, Tennessee",56.2,12.9,41.1,42.3,3.7,40.2,7.6,48.8,9,61.9,47.6,40.3,40.4,22.1,89.67242325,0.212445175,0,0.390625,54.94211932,3.240589198
4118,1757,202.7,461.5,44015,938069,23,393.3612559,"(42724.4, 45201]",34.9,33.2,36.6,"Shelby County, Tennessee",38.7,15.9,33.9,NA,9.1,27.1,18.9,58.7,10.3,61.3,49.9,44.6,33.4,21.2,40.1648627,52.71852839,2.49757398,2.735377233,37.74393475,6.405574323
106,48,225.1,486.5,43659,19295,15,0,"(42724.4, 45201]",41.6,40.6,42.7,"Smith County, Tennessee",59.1,13.8,43.9,NA,3.8,48,6.2,53.9,5.2,64.4,50.9,44.4,36.5,22.4,95.5215301,2.257525084,0.151546823,0.381479933,57.31479005,3.646563815
1019,423,187.2,472.8,38840,156791,18.5,344.4075234,"(37413.8, 40362.7]",44.3,43.2,45.6,"Sullivan County, Tennessee",53.9,13,38,NA,6.5,34.8,13.6,51.3,8.2,64.3,46.3,41.1,40.2,20.3,94.64440645,1.933627641,0.58372461,0.79616209,50.28831243,4.794040316
828,285,162.5,470.6,58291,175989,11.3,102.2791197,"(54545.6, 61494.5]",39.4,38.3,40.4,"Sumner County, Tennessee",55.6,14,35.1,NA,9,32.8,16.5,61.9,6,70.2,57.6,49.4,30,17.5,88.66663129,6.919462573,1.271643586,1.194413493,56.95154185,5.056955471
42,19,217,462.6,40251,8042,17.5,0,"(37413.8, 40362.7]",40.2,37.4,42.4,"Trousdale County, Tennessee",49.2,27.6,46.8,NA,7,42.8,6.6,54,10.5,60.3,49.3,36.7,35.5,23.6,85.89548453,11.96093354,1.230339929,0,52.050581,9.777777778
117,56,196.1,444.8,37632,17860,20.1,0,"(37413.8, 40362.7]",45.7,44.5,47.4,"Unicoi County, Tennessee",52.8,8.5,35.6,NA,2.2,41.6,7.5,NA,13.7,57.8,37.3,32.5,46.9,24.4,97.03912779,0.802479385,0.28225137,1.029387349,50.29617663,6.395035078
36,14,174.1,468.4,34884,5677,20.6,0,"(34218.1, 37413.8]",45.8,45.1,47.4,"Van Buren County, Tennessee",51.8,10.4,52.5,NA,3.3,50.1,7.5,47.8,11.2,57.9,NA,36,41.1,24.1,97.05146533,0.553967119,0.750536097,0,56.03038936,4.545454545
93,44,201.4,434.8,33573,16748,23.3,0,"[22640, 34218.1]",42.2,40.2,45.9,"Wayne County, Tennessee",49.9,17.5,51.1,29.5,1.8,43.6,5.6,40.2,12.2,54.7,NA,32.6,43.5,27,91.99266142,6.172693378,0.248564834,0.384683672,55.28741411,6.408629442
182,87,205.4,443.1,36205,33960,21.5,0,"(34218.1, 37413.8]",36.9,35.1,39.4,"Weakley County, Tennessee",49,3.9,21.6,NA,5.1,39.8,13.6,50.5,11.2,69.2,51.7,44.1,35,17.8,88.39750109,9.103588552,0.145285486,0.636350429,49.54671736,5.005740528
788,232,139,443.4,97936,211672,5.6,118.1072603,"(61494.5, 125635]",38.9,37.9,39.6,"Williamson County, Tennessee",66,16.2,30.4,NA,18.8,16.4,35.8,65.5,4.2,86.6,75.7,64,16.5,7.4,89.77218033,4.374899727,3.560685063,0.64074282,69.98906129,4.474464442
33,16,138.8,289.2,58867,8715,9.4,0,"(54545.6, 61494.5]",44.1,43.1,45,"Archer County, Texas",62,19,38.8,NA,6.6,36.5,16.6,59.7,3,72.3,NA,49.2,28.2,12.5,94.08816494,1.036564529,0.467023579,1.526369746,65.25373134,3.583061889
12,6,213.4,435.7,55177,1947,11,0,"(54545.6, 61494.5]",45.1,43.4,47.5,"Armstrong County, Texas",61.1,8.3,57.7,NA,10.7,24.3,16.1,59.6,1.1,75.7,NA,48.3,28,11.7,90.11837365,1.18373649,0,4.426145136,67.92717087,2.949061662
140,58,160.1,398.2,58792,29563,11.2,0,"(54545.6, 61494.5]",40.6,40.2,41.2,"Austin County, Texas",59.6,17.1,49.5,NA,4.7,30.3,14.4,59.6,6.2,67.3,52.2,45.6,28.4,14.2,84.75732189,8.838191511,0,3.454960881,58.69722776,4.630829016
326,140,181.8,415.6,52886,80527,14.7,0,"(51046.4, 54545.6]",38.7,38.3,39.2,"Bastrop County, Texas",52.8,25.3,36.2,NA,3.3,30.4,12,54.6,9.8,62,47.5,41.9,31.1,16.2,81.05213911,7.887144565,0.881114519,7.5024692,55.77512375,4.583083383
102,45,151.6,341,40680,32874,24.9,0,"(40362.7, 42724.4]",35.3,34.9,36.3,"Bee County, Texas",39.9,25.6,40.9,NA,0.5,33.1,6.3,39.3,7,52.1,39.5,35.3,35.8,23.1,82.20704859,8.720413975,0.232707676,6.797513702,47.26089934,8.618283322
1184,430,177.3,475.2,51048,334941,14.2,8.956801347,"(51046.4, 54545.6]",30.2,29,31.2,"Bell County, Texas",52.8,10.7,38.6,44.7,6,28.2,15.2,52.5,9.5,70.2,46,30.1,29.3,13.7,64.71609399,21.53256799,2.856695937,4.427970715,52.53632424,5.835105126
6298,2451,157.2,399.2,50699,1897753,18.3,286.6547965,"(48021.6, 51046.4]",33.1,31.8,34.5,"Bexar County, Texas",45,15.6,31.6,45.3,7.5,25.2,17.1,59,7.4,61.1,NA,39.8,30.8,18.3,77.71456838,7.479148201,2.630399748,8.319848458,45.72944794,5.991129949
53,24,154,372.8,57177,11004,12,0,"(54545.6, 61494.5]",48.6,47.8,49.2,"Blanco County, Texas",61.9,13.1,22.6,48.8,15.5,30.7,19.7,52.4,6.4,64.8,46.2,37,32.7,12.7,92.84715098,0.606173645,0.484938916,2.471323324,60.61479347,3.865213082
107,55,190.7,393.2,44397,17891,15,0,"(42724.4, 45201]",46,45.3,46.7,"Bosque County, Texas",57.8,16.3,37.7,NA,4,34.7,11.5,49.5,7.9,59.9,NA,35,36.3,16.9,94.16838239,1.496856046,0.445161649,1.541372211,57.03671953,3.008595989
35,16,173.3,408,27875,7230,32.4,0,"[22640, 34218.1]",31.7,26.5,38.7,"Brooks County, Texas",32.8,25.2,31.3,43.5,0,37.6,7.7,41.8,19.8,33.5,24.1,21.6,45.8,29.9,84.90513779,0.083090985,1.869547154,11.95125329,41.77884615,6.831489915
210,97,188.4,427.7,41316,37896,17.5,0,"(40362.7, 42724.4]",41,39.5,42,"Brown County, Texas",52.5,17.3,31.1,44.3,7.2,37.9,13.1,50,4.3,60.3,45.1,40.6,36.9,19.3,91.55763487,4.305764809,0.470488727,1.572701081,53.83226777,2.5472273
98,44,224,508,33134,13786,27.4,0,"[22640, 34218.1]",42.3,40.6,43.4,"Bienville Parish, Louisiana",43.4,20.3,39.6,35.1,5,42.7,7.1,46.4,10.1,53.6,NA,34,44.2,24.3,55.59848322,41.94748515,0.007154611,1.101810117,40.16167871,7.939133311
1006,396,192.2,490.4,45979,198788,18.4,5.030484738,"(45201, 48021.6]",36.1,34.8,37.4,"Calcasieu Parish, Louisiana",47.3,15.4,35.2,NA,6.1,35.8,14.4,56.9,8.3,62.2,48.3,42.6,33.7,19.6,70.80255453,24.90262243,1.315043877,0.515092885,46.04447395,6.064227035
57,25,200.1,467.6,36350,9993,23.3,0,"(34218.1, 37413.8]",39.9,36.8,43.5,"Caldwell Parish, Louisiana",46.4,26.3,37.5,NA,1,42.8,6.4,49.7,10.2,49.8,38,35,38.6,23.2,81.29129129,17.56756757,0.14014014,0,46.0656592,2.079107505
39,10,133.3,509.4,59300,6817,12.2,0,"(54545.6, 61494.5]",42.6,40.1,43.8,"Cameron Parish, Louisiana",64.9,34,33.8,NA,9.7,38.5,11.5,57.8,6.3,75.2,56.3,51.3,30.3,13.5,94.52728899,3.086787951,0.32806442,1.908738443,65.56748466,7.70252324
63,28,224.9,504.4,34116,10147,23.3,0,"[22640, 34218.1]",38.5,35.6,42.5,"Catahoula Parish, Louisiana",48.2,35.1,42.5,22.4,0,42.2,9.9,45.7,8.3,50.5,36.4,33.2,37.6,20.1,66.30233239,32.45828047,0.039035815,0.087830585,50.90715048,2.469135802
116,52,216.1,480.4,31835,20142,30.9,0,"[22640, 34218.1]",38.3,35.5,41.2,"Concordia Parish, Louisiana",42.8,26.8,36,NA,5.6,41.3,8,44.4,11.7,49.3,36.9,32.8,34.3,18.7,57.88547117,41.22450976,0.14670644,0.195608587,41.18541033,2.773207991
161,64,197.8,503.8,40642,27052,23.5,258.7609049,"(40362.7, 42724.4]",39.8,39.1,40.6,"De Soto Parish, Louisiana",46.4,31,25.6,NA,6.3,41.2,8.5,49.6,9.3,57,NA,38,39.9,22.5,58.08640831,37.99740404,0.296680883,1.053217133,45.38266302,5.389797883
2082,759,178.8,487.1,46831,446753,18.4,346.947866,"(45201, 48021.6]",33.2,31.7,34.7,"East Baton Rouge Parish, Louisiana",39,12.8,22.8,NA,11.8,26.7,21.6,60.9,7.6,65.9,55.2,47.8,30.3,19,48.64130068,45.53374261,3.206278531,0.851154737,38.79198202,4.474235159
135,48,212.2,570.8,41651,19696,20.4,0,"(40362.7, 42724.4]",41.8,40.9,43.5,"East Feliciana Parish, Louisiana",42.5,32.8,28.8,35.5,2.9,43.5,8.9,43.6,6.5,60.3,45.8,40.7,39,23.5,53.7446487,44.91060186,0.090657265,0.161168471,46.95113161,4.203655352
111,49,222.7,482.7,40668,22343,22.8,0,"(40362.7, 42724.4]",37.6,37,39,"Grant Parish, Louisiana",46.2,15.8,51.4,NA,2.6,42.3,6,39.3,9.2,56.5,41.3,37.5,42.2,24.4,80.00626062,14.39048386,0.084965567,1.565155174,50.20147284,3.728510828
394,155,205.9,515.4,45226,74103,19.4,0,"(45201, 48021.6]",35.8,34.7,37.1,"Iberia Parish, Louisiana",46,23.5,41.4,NA,3.3,42.1,9,55.5,10.6,58,44.2,38.6,37.5,23,62.28867429,31.42633017,2.687386729,0.742513998,46.37692162,6.645642202
2350,941,188.6,473.9,47024,436275,15.8,430.9208641,"(45201, 48021.6]",38.7,37.2,40.2,"Jefferson Parish, Louisiana",43.1,17.6,31.8,NA,8.7,31.1,16.5,60.1,6.7,58.6,47.3,40.8,34.3,22.1,63.8563798,26.48635231,4.160269552,3.043494249,41.56296102,5.165714506
179,78,208,499.6,37968,31439,21.7,0,"(37413.8, 40362.7]",38.4,35.7,40,"Jefferson Davis Parish, Louisiana",46.6,28,36.5,31.5,4,41.1,9.7,52.3,9.2,57.5,42.3,36,42.2,25.3,79.74804352,17.14703824,0.334033212,0.34039575,45.89769997,7.155147691
478,203,198.7,467.5,47382,98325,17.6,20.34070684,"(45201, 48021.6]",36.6,35.6,37.6,"Lafourche Parish, Louisiana",49.4,17.8,37.7,38.5,6,39.1,10.2,56.8,7,63.4,50.4,44.6,33.4,19.4,79.5422369,13.35227856,0.81355028,1.597349037,51.08732299,4.817078346
189,78,181.5,447.2,34522,39179,31.1,0,"(34218.1, 37413.8]",33.8,32.2,34.7,"Natchitoches Parish, Louisiana",40.6,16.7,25,NA,6.4,33.7,11.5,46.7,12.2,53.1,40.3,33.5,40.9,26.1,54.74701246,40.4805492,0.561912026,0.940757691,40.46070836,3.688606085
106,41,180.7,458.7,51304,23495,16,0,"(51046.4, 54545.6]",36.5,36.6,36.4,"Plaquemines Parish, Louisiana",52.2,20.6,28.2,NA,3.1,39.3,10.2,54.2,4.7,67.4,55.5,39.7,29,18.4,69.24869698,20.93309039,3.288274927,2.18229586,51.06802879,6.549831829
146,54,188.2,507.4,44469,22251,18.3,44.94180037,"(42724.4, 45201]",42.6,42,43.4,"Pointe Coupee Parish, Louisiana",45.3,34.2,22.9,NA,1.9,41.7,9.7,51.4,8.3,59.2,45.2,40.1,37.7,21.7,62.05440484,35.90096898,0.320028447,0.68006045,45.65665826,4.275724276
707,279,189,484.9,40406,132141,19.8,75.67673924,"(40362.7, 42724.4]",37.4,35.3,39.1,"Rapides Parish, Louisiana",44.2,20.7,35.6,NA,4.6,37,11.6,51.1,8.6,57.1,41.7,36.4,40.6,22.6,64.04462091,32.02041974,1.522404991,0.22234827,44.89449176,4.202589635
110,46,191.3,456.4,36666,20523,24.9,0,"(34218.1, 37413.8]",38,35.7,40.4,"Richland Parish, Louisiana",49.5,25.8,35,NA,4.8,41,9.4,49.7,9.6,46.5,33.9,30.5,35.4,20.9,62.46330077,36.12648602,0.173268518,0.47167541,49.86218664,3.43803056
157,64,202.5,500.4,39561,24186,21.2,82.69246672,"(37413.8, 40362.7]",41.5,41.1,42,"Sabine Parish, Louisiana",51.8,21.8,47.6,NA,3.8,42,9.2,46.2,10.6,57.2,NA,34.2,39.8,20.3,70.46766744,16.74777301,0.408281095,0.453645661,50.00545197,6.366608963
238,92,190.3,470.8,60751,52812,12.1,37.87018102,"(54545.6, 61494.5]",37.2,36,37.9,"St. Charles Parish, Louisiana",48.7,21.7,31.7,NA,6.1,36.7,14.9,60.9,7.7,66.5,56.1,50.7,28.2,18.6,70.57884838,26.34358555,1.105644104,0.678204373,50.8948485,6.11124004
61,28,212.5,461.5,35004,10567,24,0,"(34218.1, 37413.8]",39.2,37.1,41.2,"St. Helena Parish, Louisiana",42.3,26.3,27.5,NA,5,45.7,5.6,42,14.4,44.6,31.2,28.5,47.8,26.8,44.56461453,52.68071732,0,0.009243853,42.29000242,3.087986464
120,48,201.2,497.4,47477,21567,16.1,0,"(45201, 48021.6]",38.8,36.7,40.2,"St. James Parish, Louisiana",46.7,26.1,27.7,NA,4.3,44.8,10,53,11,64.7,52.1,47.8,32.3,19,48.66974596,50.31408776,0.055427252,0.23556582,47.51381215,4.363776791
209,87,200.6,460.8,47225,43626,20.8,0,"(45201, 48021.6]",36,35.2,36.8,"St. John the Baptist Parish, Louisiana",44.7,21.2,31,NA,5.6,37.5,11.5,57.4,9.2,59,48.3,44.4,36.1,24.5,42.05747152,54.34433097,0.47553271,0.985032042,47.21497522,4.727439304
497,202,217.8,530.4,32683,83848,30.1,0,"[22640, 34218.1]",36.6,35.2,37.8,"St. Landry Parish, Louisiana",43.1,26.8,50.8,20,2.4,44.5,9,49.2,6.1,56.3,45.3,41.4,37.8,24.7,56.36324495,40.86924282,0.392283497,0.480786481,42.65554216,6.971510409
272,106,198.1,499.7,46713,53835,18,0,"(45201, 48021.6]",36.7,35.5,37.7,"St. Martin Parish, Louisiana",49.5,19.8,37.3,NA,0.6,42.1,9.4,57.9,7.2,60.9,NA,40.7,36.3,21.3,65.83781952,29.74249896,1.033392313,0.739750781,50.31750197,6.463878327
282,118,200.6,474,42075,52810,21.8,0,"(40362.7, 42724.4]",37.7,37.1,38.2,"St. Mary Parish, Louisiana",43,24.1,40.4,NA,2.9,43.4,7.9,50.7,12.2,51.3,38.3,33.5,40.5,25.3,59.90531614,31.129657,1.626092326,2.019049045,41.74704724,6.284065406
1273,458,177.7,494.5,63441,250088,11.2,115.9591824,"(61494.5, 125635]",39.8,38.7,41,"St. Tammany Parish, Louisiana",54.3,23.9,30.4,NA,7.3,27,20.3,58.5,7.6,67.8,NA,45.6,30.6,18.1,83.73394798,11.74761278,1.553753704,0.73674679,55.78754661,5.430602081
549,234,213.2,493.1,49044,113972,20.9,96.51493349,"(48021.6, 51046.4]",35.2,34.4,36,"Terrebonne Parish, Louisiana",47.7,24.4,42.9,NA,4.5,40,9.8,55.6,5.5,59.8,47.8,42.6,32.8,20.1,71.23077469,18.53435277,0.913590321,0.777882244,47.74235394,5.230870955
328,113,180.3,529.1,45331,59875,18.3,0,"(45201, 48021.6]",36.7,35.6,37.7,"Vermilion Parish, Louisiana",48.5,25,42.1,NA,5.6,41,9.6,NA,8.5,60.1,46.4,40.6,36.7,21.8,81.09964473,14.13973947,2.087633226,0.306208763,48.38043678,5.605176173
207,85,204.5,478.1,46682,50803,13.9,0,"(45201, 48021.6]",30,28.8,31.4,"Vernon Parish, Louisiana",55,11.5,47.2,NA,5.7,35.8,13.6,44.8,7.5,69.3,49.3,24.8,31.8,15.8,76.97804711,14.26747466,1.716975379,1.301547374,55.90180473,7.229203118
